x,y
191,98
126,8
177,60
185,56
32,74
160,199
82,45
75,8
124,144
75,134
95,153
59,172
74,28
1,172
6,55
191,137
87,112
41,110
195,113
111,164
127,6
171,120
85,106
191,25
99,124
71,104
24,40
194,158
69,149
133,184
46,24
195,99
61,99
4,79
47,69
110,200
42,48
70,28
17,70
33,136
53,116
18,3
112,190
86,116
182,90
56,109
153,22
151,117
42,147
184,107
176,141
50,16
126,153
61,62
145,29
157,94
113,147
36,146
67,141
134,137
77,197
60,119
95,89
5,159
76,200
22,103
53,47
74,86
108,3
39,86
109,150
130,165
39,1
191,65
2,146
171,154
136,117
180,42
171,82
83,75
122,107
63,55
181,150
34,116
77,39
111,102
182,150
144,8
156,25
176,179
32,7
145,134
138,25
147,76
71,159
151,46
187,48
52,57
71,6
128,175
49,123
50,67
117,144
69,192
164,21
195,148
19,81
72,109
61,187
103,125
103,36
21,79
11,93
92,102
30,41
111,82
73,47
144,48
96,19
154,40
100,165
124,126
119,124
53,14
167,133
132,155
109,132
34,2
191,49
128,98
130,73
188,27
51,177
154,188
44,171
20,161
145,42
48,164
4,112
67,21
112,8
72,68
17,48
127,198
122,10
176,3
141,185
190,40
20,42
49,25
